placeDcid,placeName,Date:Count_Person_Producer_WhiteAlone,Value:Count_Person_Producer_WhiteAlone,Source:Count_Person_Producer_WhiteAlone,Date:Count_Person_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Value:Count_Person_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Source:Count_Person_Producer_NativeHawaiianOrOtherPacificIslanderAlone,Date:Count_Person_Producer_HispanicOrLatino,Value:Count_Person_Producer_HispanicOrLatino,Source:Count_Person_Producer_HispanicOrLatino,Date:Count_Person_Producer_AsianAlone,Value:Count_Person_Producer_AsianAlone,Source:Count_Person_Producer_AsianAlone,Date:Count_Person_Producer_BlackOrAfricanAmericanAlone,Value:Count_Person_Producer_BlackOrAfricanAmericanAlone,Source:Count_Person_Producer_BlackOrAfricanAmericanAlone
geoId/01,Alabama,2017,59062,https://www.nass.usda.gov/AgCensus/,2017,17,https://www.nass.usda.gov/AgCensus/,2017,566,https://www.nass.usda.gov/AgCensus/,2017,139,https://www.nass.usda.gov/AgCensus/,2017,4140,https://www.nass.usda.gov/AgCensus/
geoId/02,Alaska,2017,1604,https://www.nass.usda.gov/AgCensus/,,,,2017,38,https://www.nass.usda.gov/AgCensus/,2017,13,https://www.nass.usda.gov/AgCensus/,2017,6,https://www.nass.usda.gov/AgCensus/
geoId/04,Arizona,2017,13011,https://www.nass.usda.gov/AgCensus/,2017,90,https://www.nass.usda.gov/AgCensus/,2017,1482,https://www.nass.usda.gov/AgCensus/,2017,122,https://www.nass.usda.gov/AgCensus/,2017,54,https://www.nass.usda.gov/AgCensus/
geoId/05,Arkansas,2017,68308,https://www.nass.usda.gov/AgCensus/,2017,10,https://www.nass.usda.gov/AgCensus/,2017,1065,https://www.nass.usda.gov/AgCensus/,2017,616,https://www.nass.usda.gov/AgCensus/,2017,1463,https://www.nass.usda.gov/AgCensus/
geoId/06,California,2017,113717,https://www.nass.usda.gov/AgCensus/,2017,487,https://www.nass.usda.gov/AgCensus/,2017,14597,https://www.nass.usda.gov/AgCensus/,2017,6651,https://www.nass.usda.gov/AgCensus/,2017,429,https://www.nass.usda.gov/AgCensus/
geoId/08,Colorado,2017,67431,https://www.nass.usda.gov/AgCensus/,2017,70,https://www.nass.usda.gov/AgCensus/,2017,3765,https://www.nass.usda.gov/AgCensus/,2017,374,https://www.nass.usda.gov/AgCensus/,2017,96,https://www.nass.usda.gov/AgCensus/
geoId/09,Connecticut,2017,9392,https://www.nass.usda.gov/AgCensus/,2017,6,https://www.nass.usda.gov/AgCensus/,2017,134,https://www.nass.usda.gov/AgCensus/,2017,44,https://www.nass.usda.gov/AgCensus/,2017,25,https://www.nass.usda.gov/AgCensus/
geoId/10,Delaware,2017,3811,https://www.nass.usda.gov/AgCensus/,,,,2017,33,https://www.nass.usda.gov/AgCensus/,2017,55,https://www.nass.usda.gov/AgCensus/,2017,24,https://www.nass.usda.gov/AgCensus/
geoId/12,Florida,2017,73864,https://www.nass.usda.gov/AgCensus/,2017,112,https://www.nass.usda.gov/AgCensus/,2017,7121,https://www.nass.usda.gov/AgCensus/,2017,1384,https://www.nass.usda.gov/AgCensus/,2017,2299,https://www.nass.usda.gov/AgCensus/
geoId/13,Georgia,2017,64202,https://www.nass.usda.gov/AgCensus/,2017,30,https://www.nass.usda.gov/AgCensus/,2017,922,https://www.nass.usda.gov/AgCensus/,2017,461,https://www.nass.usda.gov/AgCensus/,2017,2773,https://www.nass.usda.gov/AgCensus/
